X,Y,id,state_code_2021,state_name_2021,lga_code_2024,lga_name_2024,erp_2001,erp_2002,erp_2003,erp_2004,erp_2005,erp_2006,erp_2007,erp_2008,erp_2009,erp_2010,erp_2011,erp_2012,erp_2013,erp_2014,erp_2015,erp_2016,erp_2017,erp_2018,erp_2019,erp_2020,erp_2021,erp_2022,erp_2023,erp_2024,erp_change_number_2023_24,erp_change_per_cent_2023_24,area_km2,pop_density_2024_people_per_km2,births_2021_22,deaths_2021_22,natural_increase_2021_22,internal_arrivals_2021_22,internal_departures_2021_22,net_internal_migration_2021_22,overseas_arrivals_2021_22,overseas_departures_2021_22,net_overseas_migration_2021_22,births_2022_23,deaths_2022_23,natural_increase_2022_23,internal_arrivals_2022_23,internal_departures_2022_23,net_internal_migration_2022_23,overseas_arrivals_2022_23,overseas_departures_2022_23,net_overseas_migration_2022_23,births_2023_24,deaths_2023_24,natural_increase_2023_24,internal_arrivals_2023_24,internal_departures_2023_24,net_internal_migration_2023_24,overseas_arrivals_2023_24,overseas_departures_2023_24,net_overseas_migration_2023_24,green_space_by_LGA_Green_space_ha,pop_density,Green_Pct
0,0,"14","1",New South Wales,"10950",Bogan,"3156","3105","3052","3027","2964","2939","2972","2992","2999","3013","3009","2982","2926","2894","2846","2764","2708","2648","2602","2514","2480","2454","2420","2407","-13","-0.5372","14599.8996","0.1649","45","25","20","153","206","-53","13","6","7","35","30","5","102","151","-49","15","5","10","35","37","-2","153","173","-20","14","5","9",,"0.164864147421945",
0,0,"15","1",New South Wales,"11150",Bourke,"3919","3781","3642","3494","3349","3185","3073","3046","3013","3033","3053","2998","2903","2870","2801","2762","2695","2600","2534","2483","2416","2348","2364","2349","-15","-0.6345","41598.3722","0.0565","39","29","10","246","331","-85","13","6","7","44","20","24","164","178","-14","11","5","6","60","23","37","170","227","-57","10","5","5",,"0.0564685557575736",
0,0,"16","1",New South Wales,"11200",Brewarrina,"2148","2121","2078","2039","2029","2004","1961","1944","1900","1878","1874","1821","1830","1786","1762","1710","1683","1637","1591","1525","1487","1431","1411","1408","-3","-0.2126","19162.0296","0.0735","27","21","6","87","153","-66","7","3","4","18","16","2","140","166","-26","7","3","4","17","19","-2","131","135","-4","6","3","3",,"0.0734786465417004",
0,0,"17","1",New South Wales,"11250",Broken Hill,"20929","20681","20403","20111","19915","19753","19708","19604","19421","19267","19151","18985","18802","18627","18360","18114","17994","17914","17801","17718","17662","17567","17622","17541","-81","-0.4597","170.1153","103.1124","223","241","-18","939","1053","-114","71","34","37","213","222","-9","822","819","3","87","26","61","221","217","4","740","873","-133","77","29","48",,"103.112418459715",
0,0,"18","1",New South Wales,"11300",Burwood,"30393","30682","30980","31370","31696","32199","32893","33343","33708","33835","34176","35095","36145","37200","37822","38536","39275","39773","40333","40670","40440","40850","42496","43346","850","2.0002","7.1282","6080.918","340","263","77","3263","3991","-728","2121","1060","1061","329","240","89","2224","3202","-978","3639","1104","2535","314","226","88","2365","3414","-1049","3017","1206","1811",,"6080.91804382593",
0,0,"19","1",New South Wales,"11350",Byron,"29453","29697","29952","30141","30130","30125","30174","30347","30537","30664","30712","31210","31756","32263","32803","33399","33944","34512","35054","35715","36106","36514","37122","37826","704","1.8964","565.8027","66.8537","374","234","140","3794","3841","-47","607","292","315","327","236","91","2510","2571","-61","810","232","578","342","237","105","2635","2486","149","703","253","450",,"66.8536929922745",
0,0,"20","1",New South Wales,"11400",Cabonne,"12447","12478","12482","12506","12543","12634","12706","12799","12929","13071","13211","13322","13473","13506","13511","13577","13683","13729","13773","13814","13767","13843","13879","13897","18","0.1297","6022.3496","2.3076","167","122","45","1103","1094","9","41","19","22","142","127","15","823","843","-20","55","14","41","144","146","-2","860","871","-11","48","17","31",,"2.30757111808986",
0,0,"21","1",New South Wales,"11450",Camden,"45167","47176","48445","48929","49994","50632","52182","53739","55379","56848","58440","61128","64095","68645","74103","80268","88297","96023","104706","112451","120083","127808","134763","141133","6370","4.7268","201.5278","700.3153","2358","538","1820","13564","8015","5549","671","315","356","2223","550","1673","10734","6911","3823","1703","244","1459","2183","536","1647","10826","7217","3609","1381","267","1114",,"700.315291488321",
0,0,"22","1",New South Wales,"11500",Campbelltown (NSW),"149188","149096","148739","147583","147216","146534","147155","148404","149984","150316","151172","152451","154346","156289","158586","161562","165143","168825","172286","175725","177778","180377","184734","188303","3569","1.932","311.4117","604.6754","2681","1092","1589","13736","13846","-110","2106","986","1120","2710","1096","1614","10946","11021","-75","3589","771","2818","2523","1102","1421","10880","11062","-182","3176","846","2330",,"604.675418425191",
0,0,"23","1",New South Wales,"11520",Canada Bay,"61940","63077","64060","65350","66951","68309","70196","72320","75332","77709","80065","82636","85568","88565","90467","92534","92872","92765","92609","91833","89685","89236","91383","92255","872","0.9542","19.9239","4630.369","1141","576","565","7258","9257","-1999","2794","1809","985","954","567","387","5713","6917","-1204","4599","1635","2964","937","529","408","5730","7487","-1757","4010","1789","2221",,"4630.36855234166",
