X,Y,id,state_code,state_name,lga_code_2,lga_name_2,erp_2001,erp_2002,erp_2003,erp_2004,erp_2005,erp_2006,erp_2007,erp_2008,erp_2009,erp_2010,erp_2011,erp_2012,erp_2013,erp_2014,erp_2015,erp_2016,erp_2017,erp_2018,erp_2019,erp_2020,erp_2021,erp_2022,erp_2023,erp_2024,erp_change,erp_chan_1,area_km2,pop_densit,births_202,deaths_202,natural_in,internal_a,internal_d,net_intern,overseas_a,overseas_d,net_overse,births_2_1,deaths_2_1,natural__1,internal_1,internal_2,net_inte_1,overseas_1,overseas_2,net_over_1,births_2_2,deaths_2_2,natural__2,internal_3,internal_4,net_inte_2,overseas_3,overseas_4,net_over_2,green_spac,pop_dens_1,Green_Pct
149.9694283,-36.78605719,7,1,New South Wales,10550,Bega Valley,30425,30790,31056,31406,31608,31829,32183,32367,32620,32962,33128,33288,33430,33562,33713,33941,34287,34674,35026,35428,35770,35985,36278,36593,315,0.8683,6278.501299999999901,5.828300000000000,332,379,-47,2422,2240,182,150,70,80,314,375,-61,1869,1653,216,194,56,138,284,386,-102,1969,1689,280,198,61,137,,5.828301731816160,
149.9825814,-36.75682817,7,1,New South Wales,10550,Bega Valley,30425,30790,31056,31406,31608,31829,32183,32367,32620,32962,33128,33288,33430,33562,33713,33941,34287,34674,35026,35428,35770,35985,36278,36593,315,0.8683,6278.501299999999901,5.828300000000000,332,379,-47,2422,2240,182,150,70,80,314,375,-61,1869,1653,216,194,56,138,284,386,-102,1969,1689,280,198,61,137,,5.828301731816160,
150.0510676,-36.58564943,7,1,New South Wales,10550,Bega Valley,30425,30790,31056,31406,31608,31829,32183,32367,32620,32962,33128,33288,33430,33562,33713,33941,34287,34674,35026,35428,35770,35985,36278,36593,315,0.8683,6278.501299999999901,5.828300000000000,332,379,-47,2422,2240,182,150,70,80,314,375,-61,1869,1653,216,194,56,138,284,386,-102,1969,1689,280,198,61,137,,5.828301731816160,
150.0059422,-37.14184383,7,1,New South Wales,10550,Bega Valley,30425,30790,31056,31406,31608,31829,32183,32367,32620,32962,33128,33288,33430,33562,33713,33941,34287,34674,35026,35428,35770,35985,36278,36593,315,0.8683,6278.501299999999901,5.828300000000000,332,379,-47,2422,2240,182,150,70,80,314,375,-61,1869,1653,216,194,56,138,284,386,-102,1969,1689,280,198,61,137,,5.828301731816160,
150.0001908,-37.14115386,7,1,New South Wales,10550,Bega Valley,30425,30790,31056,31406,31608,31829,32183,32367,32620,32962,33128,33288,33430,33562,33713,33941,34287,34674,35026,35428,35770,35985,36278,36593,315,0.8683,6278.501299999999901,5.828300000000000,332,379,-47,2422,2240,182,150,70,80,314,375,-61,1869,1653,216,194,56,138,284,386,-102,1969,1689,280,198,61,137,,5.828301731816160,
149.9599753,-37.11391303,7,1,New South Wales,10550,Bega Valley,30425,30790,31056,31406,31608,31829,32183,32367,32620,32962,33128,33288,33430,33562,33713,33941,34287,34674,35026,35428,35770,35985,36278,36593,315,0.8683,6278.501299999999901,5.828300000000000,332,379,-47,2422,2240,182,150,70,80,314,375,-61,1869,1653,216,194,56,138,284,386,-102,1969,1689,280,198,61,137,,5.828301731816160,
150.005293,-37.16269411,7,1,New South Wales,10550,Bega Valley,30425,30790,31056,31406,31608,31829,32183,32367,32620,32962,33128,33288,33430,33562,33713,33941,34287,34674,35026,35428,35770,35985,36278,36593,315,0.8683,6278.501299999999901,5.828300000000000,332,379,-47,2422,2240,182,150,70,80,314,375,-61,1869,1653,216,194,56,138,284,386,-102,1969,1689,280,198,61,137,,5.828301731816160,
150.0053063,-37.16250942,7,1,New South Wales,10550,Bega Valley,30425,30790,31056,31406,31608,31829,32183,32367,32620,32962,33128,33288,33430,33562,33713,33941,34287,34674,35026,35428,35770,35985,36278,36593,315,0.8683,6278.501299999999901,5.828300000000000,332,379,-47,2422,2240,182,150,70,80,314,375,-61,1869,1653,216,194,56,138,284,386,-102,1969,1689,280,198,61,137,,5.828301731816160,
149.9732256,-36.77858891,7,1,New South Wales,10550,Bega Valley,30425,30790,31056,31406,31608,31829,32183,32367,32620,32962,33128,33288,33430,33562,33713,33941,34287,34674,35026,35428,35770,35985,36278,36593,315,0.8683,6278.501299999999901,5.828300000000000,332,379,-47,2422,2240,182,150,70,80,314,375,-61,1869,1653,216,194,56,138,284,386,-102,1969,1689,280,198,61,137,,5.828301731816160,
149.9734012,-36.77757198,7,1,New South Wales,10550,Bega Valley,30425,30790,31056,31406,31608,31829,32183,32367,32620,32962,33128,33288,33430,33562,33713,33941,34287,34674,35026,35428,35770,35985,36278,36593,315,0.8683,6278.501299999999901,5.828300000000000,332,379,-47,2422,2240,182,150,70,80,314,375,-61,1869,1653,216,194,56,138,284,386,-102,1969,1689,280,198,61,137,,5.828301731816160,
149.9912264,-36.72944109,7,1,New South Wales,10550,Bega Valley,30425,30790,31056,31406,31608,31829,32183,32367,32620,32962,33128,33288,33430,33562,33713,33941,34287,34674,35026,35428,35770,35985,36278,36593,315,0.8683,6278.501299999999901,5.828300000000000,332,379,-47,2422,2240,182,150,70,80,314,375,-61,1869,1653,216,194,56,138,284,386,-102,1969,1689,280,198,61,137,,5.828301731816160,
149.9831588,-36.75259873,7,1,New South Wales,10550,Bega Valley,30425,30790,31056,31406,31608,31829,32183,32367,32620,32962,33128,33288,33430,33562,33713,33941,34287,34674,35026,35428,35770,35985,36278,36593,315,0.8683,6278.501299999999901,5.828300000000000,332,379,-47,2422,2240,182,150,70,80,314,375,-61,1869,1653,216,194,56,138,284,386,-102,1969,1689,280,198,61,137,,5.828301731816160,
149.9831783,-36.74944398,7,1,New South Wales,10550,Bega Valley,30425,30790,31056,31406,31608,31829,32183,32367,32620,32962,33128,33288,33430,33562,33713,33941,34287,34674,35026,35428,35770,35985,36278,36593,315,0.8683,6278.501299999999901,5.828300000000000,332,379,-47,2422,2240,182,150,70,80,314,375,-61,1869,1653,216,194,56,138,284,386,-102,1969,1689,280,198,61,137,,5.828301731816160,
149.9837449,-36.74967561,7,1,New South Wales,10550,Bega Valley,30425,30790,31056,31406,31608,31829,32183,32367,32620,32962,33128,33288,33430,33562,33713,33941,34287,34674,35026,35428,35770,35985,36278,36593,315,0.8683,6278.501299999999901,5.828300000000000,332,379,-47,2422,2240,182,150,70,80,314,375,-61,1869,1653,216,194,56,138,284,386,-102,1969,1689,280,198,61,137,,5.828301731816160,
150.0573134,-36.48725767,7,1,New South Wales,10550,Bega Valley,30425,30790,31056,31406,31608,31829,32183,32367,32620,32962,33128,33288,33430,33562,33713,33941,34287,34674,35026,35428,35770,35985,36278,36593,315,0.8683,6278.501299999999901,5.828300000000000,332,379,-47,2422,2240,182,150,70,80,314,375,-61,1869,1653,216,194,56,138,284,386,-102,1969,1689,280,198,61,137,,5.828301731816160,
150.0607251,-36.49745284,7,1,New South Wales,10550,Bega Valley,30425,30790,31056,31406,31608,31829,32183,32367,32620,32962,33128,33288,33430,33562,33713,33941,34287,34674,35026,35428,35770,35985,36278,36593,315,0.8683,6278.501299999999901,5.828300000000000,332,379,-47,2422,2240,182,150,70,80,314,375,-61,1869,1653,216,194,56,138,284,386,-102,1969,1689,280,198,61,137,,5.828301731816160,
150.0570304,-36.48751483,7,1,New South Wales,10550,Bega Valley,30425,30790,31056,31406,31608,31829,32183,32367,32620,32962,33128,33288,33430,33562,33713,33941,34287,34674,35026,35428,35770,35985,36278,36593,315,0.8683,6278.501299999999901,5.828300000000000,332,379,-47,2422,2240,182,150,70,80,314,375,-61,1869,1653,216,194,56,138,284,386,-102,1969,1689,280,198,61,137,,5.828301731816160,
150.0572899,-36.48647891,7,1,New South Wales,10550,Bega Valley,30425,30790,31056,31406,31608,31829,32183,32367,32620,32962,33128,33288,33430,33562,33713,33941,34287,34674,35026,35428,35770,35985,36278,36593,315,0.8683,6278.501299999999901,5.828300000000000,332,379,-47,2422,2240,182,150,70,80,314,375,-61,1869,1653,216,194,56,138,284,386,-102,1969,1689,280,198,61,137,,5.828301731816160,
150.0564829,-36.48779224,7,1,New South Wales,10550,Bega Valley,30425,30790,31056,31406,31608,31829,32183,32367,32620,32962,33128,33288,33430,33562,33713,33941,34287,34674,35026,35428,35770,35985,36278,36593,315,0.8683,6278.501299999999901,5.828300000000000,332,379,-47,2422,2240,182,150,70,80,314,375,-61,1869,1653,216,194,56,138,284,386,-102,1969,1689,280,198,61,137,,5.828301731816160,
150.0562619,-36.49593999,7,1,New South Wales,10550,Bega Valley,30425,30790,31056,31406,31608,31829,32183,32367,32620,32962,33128,33288,33430,33562,33713,33941,34287,34674,35026,35428,35770,35985,36278,36593,315,0.8683,6278.501299999999901,5.828300000000000,332,379,-47,2422,2240,182,150,70,80,314,375,-61,1869,1653,216,194,56,138,284,386,-102,1969,1689,280,198,61,137,,5.828301731816160,
149.913384,-37.06966218,7,1,New South Wales,10550,Bega Valley,30425,30790,31056,31406,31608,31829,32183,32367,32620,32962,33128,33288,33430,33562,33713,33941,34287,34674,35026,35428,35770,35985,36278,36593,315,0.8683,6278.501299999999901,5.828300000000000,332,379,-47,2422,2240,182,150,70,80,314,375,-61,1869,1653,216,194,56,138,284,386,-102,1969,1689,280,198,61,137,,5.828301731816160,
149.9446646,-37.05561921,7,1,New South Wales,10550,Bega Valley,30425,30790,31056,31406,31608,31829,32183,32367,32620,32962,33128,33288,33430,33562,33713,33941,34287,34674,35026,35428,35770,35985,36278,36593,315,0.8683,6278.501299999999901,5.828300000000000,332,379,-47,2422,2240,182,150,70,80,314,375,-61,1869,1653,216,194,56,138,284,386,-102,1969,1689,280,198,61,137,,5.828301731816160,
149.9162806,-37.0739373,7,1,New South Wales,10550,Bega Valley,30425,30790,31056,31406,31608,31829,32183,32367,32620,32962,33128,33288,33430,33562,33713,33941,34287,34674,35026,35428,35770,35985,36278,36593,315,0.8683,6278.501299999999901,5.828300000000000,332,379,-47,2422,2240,182,150,70,80,314,375,-61,1869,1653,216,194,56,138,284,386,-102,1969,1689,280,198,61,137,,5.828301731816160,
149.9348902,-36.88488349,7,1,New South Wales,10550,Bega Valley,30425,30790,31056,31406,31608,31829,32183,32367,32620,32962,33128,33288,33430,33562,33713,33941,34287,34674,35026,35428,35770,35985,36278,36593,315,0.8683,6278.501299999999901,5.828300000000000,332,379,-47,2422,2240,182,150,70,80,314,375,-61,1869,1653,216,194,56,138,284,386,-102,1969,1689,280,198,61,137,,5.828301731816160,
149.9316365,-36.89746118,7,1,New South Wales,10550,Bega Valley,30425,30790,31056,31406,31608,31829,32183,32367,32620,32962,33128,33288,33430,33562,33713,33941,34287,34674,35026,35428,35770,35985,36278,36593,315,0.8683,6278.501299999999901,5.828300000000000,332,379,-47,2422,2240,182,150,70,80,314,375,-61,1869,1653,216,194,56,138,284,386,-102,1969,1689,280,198,61,137,,5.828301731816160,
